date,type,amount
2020-12-31,繊維類,2.39
2020-12-31,段ボール類,21.61
2020-12-31,その他ﾌﾟﾗ・色,25.45
2020-12-31,容器以外のプラ,3.39
2020-12-31,ペットボトル,7.67
2020-12-31,燃えない ごみ,42.87
2020-12-31,スプレー缶類,1.78
2021-01-31,その他ﾌﾟﾗ・色,28.72
2021-01-31,スプレー缶類,1.8
2021-01-31,新聞紙類,10.89
2021-01-31,乾電池,1.53
2021-01-31,燃やすごみ,880.29
2021-01-31,白トレイ,0.932
2021-01-31,燃えない ごみ,32.69
2021-01-31,ペットボトル,7.98
2021-01-31,雑誌類,22.73
2021-01-31,繊維類,0.99
2021-01-31,段ボール類,19.31
2021-01-31,空き缶,14.03
2021-01-31,容器以外のプラ,2.34
2021-01-31,空きびん,28.93
2021-01-31,廃食用油,0.9
2021-01-31,蛍光灯,0.66
2021-01-31,紙製パック,0.12
2021-02-28,容器以外のプラ,2.26
2021-02-28,ペットボトル,6.88
2021-02-28,繊維類,1.6
2021-02-28,燃えない ごみ,32.35
2021-02-28,燃やすごみ,832.25
2021-02-28,その他ﾌﾟﾗ・色,23.15
2021-02-28,雑誌類,25.05
2021-02-28,白トレイ,0.8967
2021-02-28,紙製パック,0.13
2021-02-28,廃食用油,0.795
2021-02-28,空きびん,22.08
2021-02-28,空き缶,11.13
2021-02-28,蛍光灯,0.64
2021-02-28,乾電池,1.47
2021-02-28,段ボール類,18.29
2021-02-28,新聞紙類,12.42
2021-02-28,スプレー缶類,1.48
2021-03-31,燃えない ごみ,54.48
2021-03-31,空き缶,12.95
2021-03-31,蛍光灯,0.87
2021-03-31,繊維類,5.12
2021-03-31,スプレー缶類,1.98
2021-03-31,白トレイ,0.8266
2021-03-31,雑誌類,51.02
2021-03-31,段ボール類,35.2
2021-03-31,容器以外のプラ,4.13
2021-03-31,ペットボトル,9.43
2021-03-31,乾電池,1.88
2021-03-31,燃やすごみ,1082.08
2021-03-31,新聞紙類,23
2021-03-31,その他ﾌﾟﾗ・色,27.87
2021-03-31,空きびん,29.66
2021-03-31,廃食用油,0.967
2021-03-31,紙製パック,0.31
2021-04-30,段ボール類,28.87
2021-04-30,乾電池,1.58
2021-04-30,廃食用油,0.848
2021-04-30,その他ﾌﾟﾗ・色,25.78
2021-04-30,スプレー缶類,1.79
2021-04-30,紙製パック,0.24
2021-04-30,燃やすごみ,1110.37
2021-04-30,空きびん,26.14
2021-04-30,雑誌類,39.32
2021-04-30,繊維類,6.05
2021-04-30,蛍光灯,0.78
2021-04-30,新聞紙類,16.72
2021-04-30,空き缶,11.29
2021-04-30,白トレイ,0.6996
2021-04-30,燃えない ごみ,48.79
2021-04-30,ペットボトル,9.33
2021-04-30,容器以外のプラ,3.79
2021-05-31,スプレー缶類,1.69
2021-05-31,廃食用油,0.747
2021-05-31,段ボール類,24.06
2021-05-31,蛍光灯,0.56
2021-05-31,その他ﾌﾟﾗ・色,24.66
2021-05-31,繊維類,7.01
2021-05-31,空きびん,26.09
2021-05-31,白トレイ,0.6991
2021-05-31,容器以外のプラ,3.51
2021-05-31,雑誌類,29.99
2021-05-31,空き缶,11.49
2021-05-31,乾電池,1.38
2021-05-31,燃やすごみ,1140.75
2021-05-31,新聞紙類,12.6
2021-05-31,ペットボトル,9.53
2021-05-31,紙製パック,0.16
2021-05-31,燃えない ごみ,45.02
2021-06-30,容器以外のプラ,3.69
2021-06-30,スプレー缶類,2
2021-06-30,新聞紙類,16.65
2021-06-30,燃えない ごみ,46.85
2021-06-30,乾電池,1.52
2021-06-30,白トレイ,0.7275
2021-06-30,燃やすごみ,1101.48
2021-06-30,蛍光灯,0.54
2021-06-30,紙製パック,0.2
2021-06-30,雑誌類,36.68
2021-06-30,その他ﾌﾟﾗ・色,25.34
2021-06-30,段ボール類,27.55
2021-06-30,ペットボトル,12.58
2021-06-30,空き缶,12.77
2021-06-30,廃食用油,0.957
2021-06-30,繊維類,5.62
2021-06-30,空きびん,27.65
2021-07-31,スプレー缶類,1.74
2021-07-31,その他ﾌﾟﾗ・色,25.98
2021-07-31,蛍光灯,0.5
2021-07-31,繊維類,2.77
2021-07-31,廃食用油,0.882
2021-07-31,空きびん,25.95
2021-07-31,新聞紙類,12.92
2021-07-31,燃えない ごみ,36.4
2021-07-31,紙製パック,0.22
2021-07-31,乾電池,1.3
2021-07-31,空き缶,13.09
2021-07-31,段ボール類,23.16
2021-07-31,白トレイ,0.6657
2021-07-31,ペットボトル,13.68
2021-07-31,燃やすごみ,1111.59
2021-07-31,容器以外のプラ,3.11
2021-07-31,雑誌類,28.52
2021-08-31,段ボール類,27.43
2021-08-31,スプレー缶類,1.84
2021-08-31,蛍光灯,0.56
2021-08-31,廃食用油,0.853
2021-08-31,燃えない ごみ,42.04
2021-08-31,雑誌類,31.76
2021-08-31,紙製パック,0.24
2021-08-31,その他ﾌﾟﾗ・色,26.69
2021-08-31,空きびん,28.31
2021-08-31,燃やすごみ,1233.71
2021-08-31,ペットボトル,14.83
2021-08-31,空き缶,13.56
2021-08-31,繊維類,2.82
2021-08-31,容器以外のプラ,3.82
2021-08-31,白トレイ,0.6592
2021-08-31,新聞紙類,14.77
2021-08-31,乾電池,1.56
2021-09-30,段ボール類,27.47
2021-09-30,新聞紙類,15.16
2021-09-30,スプレー缶類,2.13
2021-09-30,乾電池,1.56
2021-09-30,ペットボトル,13.84
2021-09-30,紙製パック,0.23
2021-09-30,繊維類,3.56
2021-09-30,空き缶,12.64
2021-09-30,雑誌類,33.29
2021-09-30,白トレイ,0.6839
2021-09-30,蛍光灯,0.72
2021-09-30,燃やすごみ,1090.88
2021-09-30,廃食用油,0.675
2021-09-30,燃えない ごみ,45.44
2021-09-30,その他ﾌﾟﾗ・色,24.85
2021-09-30,空きびん,26.67
2021-09-30,容器以外のプラ,3.64
2021-10-31,繊維類,4.55
2021-10-31,白トレイ,0.6678
2021-10-31,蛍光灯,0.48
2021-10-31,燃やすごみ,1021.52
2021-10-31,雑誌類,29.96
2021-10-31,スプレー缶類,1.95
2021-10-31,廃食用油,0.721
2021-10-31,ペットボトル,11.99
2021-10-31,空き缶,11.04
2021-10-31,紙製パック,0.2
2021-10-31,空きびん,24.39
2021-10-31,乾電池,1.62
2021-10-31,燃えない ごみ,41.3
